,Cruise,Inc,(hr),YYMMDD,Start(HHMM),End(HHMM),Depth(m),Chla(mg/m3),StdDev(mg/m3),mg/m3,mg/m3.1,Rep #1,Rep #2,Rep #3,Rep #1.1,Rep #2.1,Rep #3.1,PSS-78,#/ml,#/ml.1,#/ml.2,#/ml.3,Unnamed: 22
80,18,I,14.0,900613,600,2000,5,0.05,0.0,0.02,0.0,-9.0,3.58,3.04,0.22,0.19,0.18,-9.0,-9,-9,-9,-9,2222299999
81,18,I,14.0,900613,600,2000,25,0.04,0.0,0.02,0.0,0.58,1.67,1.62,0.28,0.28,0.16,-9.0,-9,-9,-9,-9,2222299999
82,18,I,14.0,900613,600,2000,45,0.06,0.0,0.03,0.0,1.55,1.52,0.74,-9.0,0.16,0.24,-9.0,-9,-9,-9,-9,2222299999
83,18,I,14.0,900613,600,2000,75,0.11,0.0,0.06,0.0,2.23,3.43,1.5,0.17,0.18,0.2,-9.0,-9,-9,-9,-9,2222299999
84,18,I,14.0,900613,600,2000,100,0.22,0.01,0.27,0.01,4.15,4.06,4.33,0.1,0.13,0.14,-9.0,-9,-9,-9,-9,2222299999
85,18,I,14.0,900613,600,2000,125,0.08,0.0,0.12,0.0,0.62,0.57,0.58,0.08,0.08,0.09,-9.0,-9,-9,-9,-9,2222299999
86,18,I,14.0,900613,600,2000,150,0.02,0.0,0.04,0.0,0.09,0.08,0.09,0.05,0.06,0.06,-9.0,-9,-9,-9,-9,2222299999
87,18,I,14.0,900613,600,2000,175,0.02,0.0,0.03,0.0,0.09,0.1,0.06,0.04,0.05,0.06,-9.0,-9,-9,-9,-9,2222299999
88,19,I,13.25,900725,630,1940,5,0.04,0.0,0.02,0.0,1.64,1.36,2.77,0.2,0.18,0.24,-9.0,-9,-9,-9,-9,2222299999
89,19,I,13.25,900725,630,1940,25,0.04,0.0,0.02,0.0,2.16,0.79,1.37,0.12,0.18,0.18,-9.0,-9,-9,-9,-9,2222299999
90,19,I,13.25,900725,630,1940,45,0.08,0.0,0.04,0.0,3.45,4.97,4.26,0.18,0.15,0.18,-9.0,-9,-9,-9,-9,2222299999
91,19,I,13.25,900725,630,1940,75,0.11,0.0,0.06,0.0,3.39,4.1,2.29,0.17,0.19,0.17,-9.0,-9,-9,-9,-9,2222299999
92,19,I,13.25,900725,630,1940,100,0.2,0.0,0.16,0.0,3.27,3.9,2.56,0.12,0.11,0.11,-9.0,-9,-9,-9,-9,2222299999
93,19,I,13.25,900725,630,1940,125,0.08,0.0,0.1,0.0,0.37,0.4,0.41,0.08,0.07,0.06,-9.0,-9,-9,-9,-9,2222299999
94,19,I,13.25,900725,630,1940,150,0.04,0.0,0.08,0.01,0.18,0.16,0.14,0.07,0.07,0.08,-9.0,-9,-9,-9,-9,2222299999
95,19,I,13.25,900725,630,1940,175,0.02,0.0,0.05,0.0,-9.0,-9.0,-9.0,0.06,0.06,0.07,-9.0,-9,-9,-9,-9,2225299999
96,22,I,13.8,901218,612,2000,5,0.09,0.0,0.04,0.0,5.1,4.52,5.43,0.12,0.14,0.15,-9.0,-9,-9,-9,-9,2222299999
97,22,I,13.8,901218,612,2000,25,0.09,0.0,0.04,0.01,4.85,4.63,4.74,0.14,0.15,0.14,-9.0,-9,-9,-9,-9,2222299999
98,22,I,13.8,901218,612,2000,45,0.09,0.0,0.05,0.0,3.32,2.91,3.12,0.14,0.15,0.14,-9.0,-9,-9,-9,-9,2222299999
99,22,I,13.8,901218,612,2000,75,0.1,0.0,0.04,0.0,1.07,1.03,1.18,0.14,0.17,0.15,-9.0,-9,-9,-9,-9,2222299999
100,22,I,13.8,901218,612,2000,100,0.15,0.01,0.22,0.01,0.91,0.88,0.9,0.07,0.08,0.08,-9.0,-9,-9,-9,-9,2222299999
101,22,I,13.8,901218,612,2000,125,0.05,0.0,0.12,0.01,0.17,0.17,0.17,0.08,0.07,0.07,-9.0,-9,-9,-9,-9,2222299999
102,22,I,13.8,901218,612,2000,150,0.01,0.0,0.02,0.0,-9.0,0.04,0.05,0.05,0.07,0.07,-9.0,-9,-9,-9,-9,2222299999
103,22,I,13.8,901218,612,2000,175,0.09,0.0,0.03,0.0,0.17,0.23,0.21,0.12,0.13,0.11,-9.0,-9,-9,-9,-9,3333399999
104,23,I,12.0,910204,708,1910,5,0.068,0.067,0.015,0.001,6.73,4.71,-9.0,0.08,0.06,0.11,-9.0,-9,-9,-9,-9,2222299999
105,23,I,12.0,910204,708,1910,25,0.059000000000000004,0.059000000000000004,0.015,0.003,4.73,6.5,5.19,0.07,0.07,0.08,-9.0,-9,-9,-9,-9,2222299999
106,23,I,12.0,910204,708,1910,45,0.128,0.128,0.052000000000000005,0.001,6.11,7.22,5.67,0.09,0.08,0.08,-9.0,-9,-9,-9,-9,4333399999
107,23,I,12.0,910204,708,1910,75,0.102,0.102,0.037000000000000005,0.006,2.58,2.62,-9.0,0.07,0.08,0.07,-9.0,-9,-9,-9,-9,2222299999
108,23,I,12.0,910204,708,1910,100,0.139,0.139,0.022000000000000002,0.004,0.94,0.94,1.02,0.05,0.04,0.06,-9.0,-9,-9,-9,-9,2222299999
109,23,I,12.0,910204,708,1910,125,0.129,0.128,0.192,0.003,0.57,0.55,0.53,0.03,0.04,0.03,-9.0,-9,-9,-9,-9,2222299999
110,23,I,12.0,910204,708,1910,150,-9.0,-9.0,-9.0,-9.0,0.07,0.07,0.06,0.04,0.01,0.03,-9.0,-9,-9,-9,-9,2552299999
111,23,I,12.0,910204,708,1910,175,-9.0,-9.0,-9.0,-9.0,0.01,0.05,0.0,0.03,0.03,0.04,-9.0,-9,-9,-9,-9,2552299999
112,25,I,14.0,910410,600,2000,5,0.08800000000000001,0.002,0.068,0.001,5.83,4.25,-9.0,0.09,0.11,0.09,-9.0,-9,-9,-9,-9,2222299999
113,25,I,14.0,910410,600,2000,25,0.09,0.001,0.07,0.002,6.03,6.3,7.63,0.11,0.11,0.1,-9.0,-9,-9,-9,-9,2222299999
114,25,I,14.0,910410,600,2000,45,0.091,0.003,0.08199999999999999,0.004,5.47,4.84,4.96,0.13,0.13,0.14,-9.0,-9,-9,-9,-9,2222299999
115,25,I,14.0,910410,600,2000,75,0.131,0.002,0.099,0.006999999999999999,2.44,3.0,3.12,0.15,0.15,0.13,-9.0,-9,-9,-9,-9,2222299999
116,25,I,14.0,910410,600,2000,100,0.187,0.006,0.21600000000000003,0.004,1.62,1.5,1.6,0.09,0.08,0.07,-9.0,-9,-9,-9,-9,2222299999
117,25,I,14.0,910410,600,2000,125,0.228,0.003,0.39,0.012,0.75,0.71,0.71,0.05,0.05,0.07,-9.0,-9,-9,-9,-9,2222299999
118,25,I,14.0,910410,600,2000,150,0.063,0.001,0.162,0.005,0.11,0.11,0.11,0.04,0.04,0.04,-9.0,-9,-9,-9,-9,2222299999
119,25,I,14.0,910410,600,2000,175,0.042,0.003,0.076,0.009000000000000001,0.04,0.04,0.05,0.03,0.03,0.03,-9.0,-9,-9,-9,-9,2222299999
120,26,I,13.0,910508,600,1905,5,0.092,0.002,0.068,0.001,11.32,-9.0,11.45,0.13,0.14,0.14,-9.0,-9,-9,-9,-9,2222299999
121,26,I,13.0,910508,600,1905,25,0.11,0.001,0.07,0.002,11.11,10.91,10.05,0.26,0.14,0.19,-9.0,-9,-9,-9,-9,2222299999
122,26,I,13.0,910508,600,1905,45,0.107,0.013000000000000001,0.08199999999999999,0.004,7.86,7.32,6.72,0.16,0.16,0.16,-9.0,-9,-9,-9,-9,2222299999
123,26,I,13.0,910508,600,1905,75,0.142,0.004,0.099,0.006999999999999999,4.27,4.53,4.04,0.09,0.11,0.13,-9.0,-9,-9,-9,-9,2222299999
124,26,I,13.0,910508,600,1905,100,0.18100000000000002,0.001,0.21600000000000003,0.004,2.12,-9.0,2.39,0.07,0.07,0.08,-9.0,-9,-9,-9,-9,2222299999
125,26,I,13.0,910508,600,1905,125,0.218,0.002,0.39,0.012,1.67,1.75,1.67,0.05,0.05,0.05,-9.0,-9,-9,-9,-9,2222299999
126,26,I,13.0,910508,600,1905,150,0.141,0.005,0.162,0.005,0.28,-9.0,0.32,0.06,0.05,0.04,-9.0,-9,-9,-9,-9,2222299999
127,26,I,13.0,910508,600,1905,175,0.10300000000000001,0.002,0.076,0.009000000000000001,-9.0,0.07,0.06,0.03,0.04,0.04,-9.0,-9,-9,-9,-9,2222299999
128,27,I,15.25,910605,630,2145,5,0.10099999999999999,-9.0,0.064,-9.0,-9.0,3.45,8.97,0.23,0.26,0.12,-9.0,-9,-9,-9,-9,2222299999
129,27,I,15.25,910605,630,2145,25,0.099,0.005,0.066,0.006999999999999999,8.89,8.18,-9.0,0.12,0.14,0.11,-9.0,-9,-9,-9,-9,2222299999
130,27,I,15.25,910605,630,2145,45,0.10099999999999999,-9.0,0.078,-9.0,6.96,7.24,6.95,0.12,0.1,0.09,-9.0,-9,-9,-9,-9,2222299999
131,27,I,15.25,910605,630,2145,75,0.11900000000000001,-9.0,0.087,-9.0,3.09,2.98,3.54,0.1,0.13,0.1,-9.0,-9,-9,-9,-9,2222299999
132,27,I,15.25,910605,630,2145,100,0.16399999999999998,0.001,0.152,0.005,1.49,1.32,1.56,0.13,0.11,0.11,-9.0,-9,-9,-9,-9,2222299999
133,27,I,15.25,910605,630,2145,125,0.209,0.018000000000000002,0.365,0.021,0.81,0.82,0.71,0.07,0.05,0.04,-9.0,-9,-9,-9,-9,2222299999
134,27,I,15.25,910605,630,2145,150,0.09,-9.0,0.23399999999999999,-9.0,-9.0,-9.0,0.17,0.06,0.05,0.06,-9.0,-9,-9,-9,-9,2222299999
135,27,I,15.25,910605,630,2145,175,0.021,-9.0,0.04,-9.0,-9.0,0.04,0.03,0.06,0.07,0.05,-9.0,-9,-9,-9,-9,2222299999
136,28,I,15.25,910710,550,2100,5,0.066,0.008,0.059000000000000004,0.006,3.65,4.35,5.76,0.02,0.14,0.13,-9.0,-9,-9,-9,-9,2222299999
137,28,I,15.25,910710,550,2100,25,0.064,0.002,0.063,0.002,6.11,6.4,6.7,0.12,0.13,0.13,-9.0,-9,-9,-9,-9,2222299999
138,28,I,15.25,910710,550,2100,45,0.087,0.002,0.069,0.001,5.0,4.13,3.59,0.16,0.16,0.15,-9.0,-9,-9,-9,-9,2222299999
139,28,I,15.25,910710,550,2100,75,0.136,0.005,0.138,0.003,3.43,3.0,4.09,0.13,0.13,0.15,-9.0,-9,-9,-9,-9,2222299999
140,28,I,15.25,910710,550,2100,100,0.22399999999999998,0.016,0.209,0.008,1.95,1.87,1.94,0.09,0.09,0.09,-9.0,-9,-9,-9,-9,2222299999
141,28,I,15.25,910710,550,2100,125,0.198,0.02,0.431,0.008,0.87,0.91,0.81,0.03,0.04,0.03,-9.0,-9,-9,-9,-9,2222299999
142,28,I,15.25,910710,550,2100,150,0.064,0.012,0.20199999999999999,0.026000000000000002,0.14,0.14,0.15,0.02,0.03,0.02,-9.0,-9,-9,-9,-9,2222299999
143,28,I,15.25,910710,550,2100,175,0.07200000000000001,0.003,0.128,0.008,0.08,0.07,-9.0,0.05,0.06,0.05,-9.0,-9,-9,-9,-9,2222299999
144,29,I,13.25,910810,645,2000,5,0.07,0.003,0.07,0.01,6.96,6.61,7.3,0.12,0.2,0.12,-9.0,-9,-9,-9,-9,2222299999
145,29,I,13.25,910810,645,2000,25,0.067,0.006999999999999999,0.064,0.003,7.38,7.32,5.54,0.11,0.09,0.09,-9.0,-9,-9,-9,-9,2222299999
146,29,I,13.25,910810,645,2000,45,0.07400000000000001,0.003,0.07,0.006,6.15,4.82,-9.0,0.16,0.13,0.13,-9.0,-9,-9,-9,-9,2222299999
147,29,I,13.25,910810,645,2000,75,0.146,0.002,0.12,0.003,3.11,-9.0,3.19,0.1,0.16,0.13,-9.0,-9,-9,-9,-9,2222299999
148,29,I,13.25,910810,645,2000,100,0.198,0.004,0.204,0.006,1.28,1.24,1.29,-9.0,0.08,-9.0,-9.0,-9,-9,-9,-9,2222299999
149,29,I,13.25,910810,645,2000,125,0.195,0.008,0.405,0.013000000000000001,0.71,0.83,0.67,0.04,0.04,0.04,-9.0,-9,-9,-9,-9,2222299999
150,29,I,13.25,910810,645,2000,150,0.079,0.004,0.221,0.003,0.14,0.18,0.14,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222599999
151,29,I,13.25,910810,645,2000,175,0.026000000000000002,0.002,0.096,0.006,0.07,0.05,0.05,0.04,0.06,0.05,-9.0,-9,-9,-9,-9,2222299999
152,30,I,14.75,910918,500,1945,5,0.07400000000000001,-9.0,0.055,-9.0,7.41,-9.0,7.54,0.18,0.19,0.18,-9.0,-9,-9,-9,-9,2222299999
153,30,I,14.75,910918,500,1945,25,0.069,-9.0,0.055,-9.0,8.31,8.01,7.16,0.17,0.19,0.17,-9.0,-9,-9,-9,-9,2222299999
154,30,I,14.75,910918,500,1945,45,0.085,-9.0,0.07,-9.0,-9.0,6.69,5.17,0.17,0.16,0.19,-9.0,-9,-9,-9,-9,2222299999
155,30,I,14.75,910918,500,1945,75,0.16899999999999998,-9.0,0.146,-9.0,3.43,-9.0,3.67,0.14,0.16,0.11,-9.0,-9,-9,-9,-9,2222299999
156,30,I,14.75,910918,500,1945,100,0.22399999999999998,-9.0,0.35200000000000004,-9.0,1.4,1.46,1.56,0.04,0.06,0.04,-9.0,-9,-9,-9,-9,2222299999
